Product2.ProductCode,UnitPrice
GOA-GMA-RSSH-GAMSII,2500
GOA-GAM-RSS-GAPSCS,3575
GOA-GAM-RSS-GAPS,17078
GOA-GAM-RSS-GAPESTGS,20543
GOA-GAM-RSS-GOAPE,51558
GOA-GAM-RSS-GAPSSS,4125
GOA-GAM-RSS-GANPE,30800
GOA-GAM-RSS-GAPESBGS,33830
GOA-GAM-RSS-GAPAS,8250
GOA-GAM-RSS-GAPBS,43158
GOA-GAM-RSS-GAPBCS,16038
GOA-GAM-RSS-GAPBTPCS,44001
GOA-GAM-RSS-GASFS,3575
GOA-GAM-RSS-GASS,4015
GOA-GAM-RSS-GASMS,1647.25
GOA-GAM-RSS-GASDS,1925
GOA-GAM-RSS-GASSS,1925
GOA-GAM-RSS-GASAS,272.25
GOA-GAM-RSS-GASBS,17064
GOA-GAM-RSS-GASBGS,20337
GOA-GAM-RSS-GASBGTPS,26410
GOA-GAM-RSS-GAUAS,4950
GOA-GAM-RSS-GAWBS,5000
GOA-GAM-RSS-GAWES,9350
GOA-GAM-RSS-GAWRS,6875
SM-HAM-RSS-HAMSUB,476
SM-HEP-RSS-HEPMS,2021
SM-HEP-RSP-HLRS,275
HRM-HRM-RSL-HIPAAH,2000
DM-IRC-RSS-HTMLSU,1270.5
GS-GSE-RSS-HSIS,3465
ES-SEG-RSSH-ICAPHF,1000
ES-SEG-RSL-ICAPMF,3000
DM-IBM-RSS-IENCSU,1443.75
DM-IFO-RSS-IFORSU,6930
DM-IBM-RSS-IFSTSU,1650
DM-WCU-RSS-IBOSUB,346.5
ES-SEG-RSS-IGSSUB,13
ES-SEG-RSS-IGSRES,130
BI-ISA-RSS-INSISU,358
BI-ISA-RSS-IACS,1375
BI-ISA-RSS-IAPROS,4400
BI-ISA-RSS-IAPS,11000
DM-WFM-RSS-INTESU,1100
NW-INT-NRPS-ISP,3206
NW-INT-RSS-ISS,488
NW-INT-RSS-ISLS,259
NW-INT-RSS-ISBS,1546
NW-INT-NRPS-INTERM,300
DP-DLP-RMS-INVESU,50.04
FIM-FIM-RRM-IP36RE,8.05
FIM-FIM-RSS-IP36SU,22
FIM-FML-RSS-IP36MO,10000
ES-SEG-RSS-IPIPSU,2.6
DM-IBM-RSS-ISOIS,3176.25
SM-NSS-RSS-LOPSUB,3850
DP-SC-RSL-LKSCS,50000
SM-RLP-RSS-LPARSU,1761.8
SM-LMM-RSS-LMMSSU,3394
SM-LSO-RSS-LSOSSU,4513
SM-LAA-RSS-LAASSU,7447
SM-LOC-RSS-LOCSSU,12287
CS-SEC-RSP-SCSVC,4920
ES-SEG-RSP-MSSEG,2600
DP-DLP-RMS-MANAGE,29.04
CS-DFT-RSS-MAPSUB,2248
SM-MES-RSS-MESSSU,6318
SM-MP-RSS-MPS,6318
ES-DMP-RMS-MMAFS,4000
SM-ROM-RSS-MONISU,3431.6
SM-MQM-NRPS-MQMPER,2175
SM-MQM-RSS-MQMSUB,1196
GS-GSE-RSS-MSGYEA,8455
CS-DFT-RSS-MSASUB,450
DP-DLP-RSL-NDS,36
DP-DLP-RSS-NDWES,36
CS-DFT-RSS-NTCS,2248
SM-RON-RSS-NAHS,1715.85
SM-RON-RSS-NHS,1480.05
SM-RON-RSS-NNS,1715.85
IGA-AAS-RSS-NSCCSU,8663
SM-NSS-RSS-NSSLIS,809
SM-NSS-RSS-NSSSNR,1540
SM-NSS-RSS-NSSVIS,866
SM-NSS-RSS-NSSWEM,5390
SM-NSS-RSS-NSSWIS,270
ES-SEG-RSS-OFIS,65
ES-SEG-RSS-OFSS,6.5
ES-SXG-RSS-OCGS,6.5
ES-SIG-RSS-OFEATU,6.5
ES-SWG-RSS-OCFEAS,13
ES-SIG-RSS-OSIS,1430
OS-CI-RRM-OFFERE,0.2
ES-SEG-RSS-OPEPSE,6.5
BP-ETM-RMS-OPENSU,2000
HRM-HRM-RSL-OPENAS,2000
OS-OFS-RSL-OSTOS,9500
BI-SDW-RSS-PLS,1000
HRM-HRM-RSL-PE:PSS,1000
SM-PRM-RSS-PASSSU,429
HRM-HRM-RSL-PCIDSS,2000
