Id,Product2Id,Product2.ProductCode,UnitPrice,Pricebook2Id
01uWC000005pIZhYAM,01tWC00000DD1qbYAD,SM-VIT-RNM-VIBMNM,0,01sa5000001vuxlAAA
01uWC000005pIZnYAM,01tWC00000DD1qdYAD,SM-VIT-RRM-VIBMRM,0,01sa5000001vuxlAAA
01uWC000005pIZtYAM,01tWC00000DD1qfYAD,CM-VIM-RNM-VMNM,0,01sa5000001vuxlAAA
01uWC000005pIZzYAM,01tWC00000DD1qhYAD,CM-VIM-RRM-VMRM,0,01sa5000001vuxlAAA
01uWC000005pIa5YAE,01tWC00000DD1qjYAD,CM-VIM-RNM-VMPPSN,0,01sa5000001vuxlAAA
01uWC000005pIaBYAU,01tWC00000DD1qlYAD,CM-VIM-RRM-VMPPSR,0,01sa5000001vuxlAAA
01uWC000005pIaHYAU,01tWC00000DD1qpYAD,SM-VMC-RNM-VMCA,0,01sa5000001vuxlAAA
01uWC000005pIaNYAU,01tWC00000DD1qrYAD,SM-VMC-RRM-VATM,0,01sa5000001vuxlAAA
01uWC000005pIaTYAU,01tWC00000DD1qtYAD,SM-VMC-RNM-VMCC,0,01sa5000001vuxlAAA
01uWC000005pIaZYAU,01tWC00000DD1qvYAD,SM-VMC-RRM-VMCCI,0,01sa5000001vuxlAAA
01uWC000005pIafYAE,01tWC00000DD1qxYAD,SM-VMC-RNM-VMCD,0,01sa5000001vuxlAAA
01uWC000005pIalYAE,01tWC00000DD1qzYAD,SM-VMC-RRM-VDAM,0,01sa5000001vuxlAAA
01uWC000005pIarYAE,01tWC00000DD1r1YAD,SM-VMC-RNM-VMDE,0,01sa5000001vuxlAAA
01uWC000005pIaxYAE,01tWC00000DD1r3YAD,SM-VMC-RRM-VMCDE,0,01sa5000001vuxlAAA
01uWC000005pIb3YAE,01tWC00000DD1r5YAD,SM-VMC-RNM-VMCE,0,01sa5000001vuxlAAA
01uWC000005pIb7YAE,01tWC00000DD1uMYAT,CM-TQU-RNM-UTQMOO,0,01sa5000001vuxlAAA
01uWC000005pIbDYAU,01tWC00000DD1uOYAT,CM-TQU-RRM-UTEQUE,0,01sa5000001vuxlAAA
01uWC000005pIbJYAU,01tWC00000DD1uQYAT,CM-TQU-RNM-UNNM,0,01sa5000001vuxlAAA
01uWC000005pIbPYAU,01tWC00000DD1uSYAT,CM-TQU-RRM-UNTQUM,0,01sa5000001vuxlAAA
01uWC000005pIbVYAU,01tWC00000DD1uUYAT,CM-TQU-RNM-UTEQMS,0,01sa5000001vuxlAAA
01uWC000005pIbbYAE,01tWC00000DD1uWYAT,CM-TQU-RRM-UTEQMO,0,01sa5000001vuxlAAA
01uWC000005pIbhYAE,01tWC00000DD1uYYAT,CM-TQU-RNM-UTQOFF,0,01sa5000001vuxlAAA
01uWC000005pIbnYAE,01tWC00000DD1uaYAD,CM-TQU-RRM-UNTQUO,0,01sa5000001vuxlAAA
