AttributeValue,QuoteLineItemId,QuoteLineItem.Product2.ProductCode,QuoteLineItem.Fortra_Product_Type__c,QuoteLineItem.NetUnitPrice,QuoteLineItem.UnitPrice,QuoteLineItem.TotalPrice,QuoteLineItem.Source_List_Price__c,QuoteLineItem.Quote.Status,QuoteLineItem.Quote.QuoteTypeText__c
Premier,0QLWC000003DfYc4AK,GS-GSE-RRM-EERM,Renewal Maintenance,,8749.59,8749.59,,Approved,Renewal
Professional,0QLWC000003DfyC4AS,GS-GSE-RRM-EOPM,Renewal Maintenance,,328.15,328.15,,Approved,Renewal
Professional,0QLWC000003DFyC4AW,GS-GSE-RRM-EFTAS,Renewal Maintenance,,1066.32,1066.32,,Approved,Renewal
Professional,0QLWC000003DFyd4AG,GS-GSE-RRM-EFTAS,Renewal Maintenance,,759.43,759.43,,Approved,Renewal
Premier,0QLWC000003DfYd4AK,GS-GSE-RRM-EERM,Renewal Maintenance,,8749.59,8749.59,,Approved,Renewal
Professional,0QLWC000003DfyD4AS,GS-GSE-RRM-EFTAS,Renewal Maintenance,,1150.56,1150.56,,Approved,Renewal
Professional,0QLWC000003DFyD4AW,GS-GSE-RRM-EERM,Renewal Maintenance,,6327.27,6327.27,,Approved,Renewal
Professional,0QLWC000003DFye4AG,GS-GSE-RRM-DMRM,Renewal Maintenance,,543.03,543.03,,Approved,Renewal
Premier,0QLWC000003DfYe4AK,GS-GSE-RRM-EOPM,Renewal Maintenance,,842.16,842.16,,Approved,Renewal
Professional,0QLWC000003DfyE4AS,GS-GSE-RRM-EFTAW,Renewal Maintenance,,1048.44,1048.44,,Approved,Renewal
Professional,0QLWC000003DFyE4AW,GS-GSE-RRM-EOPM,Renewal Maintenance,,609.51,609.51,,Approved,Renewal
Professional,0QLWC000003DFyf4AG,GS-GSE-RRM-DMRM,Renewal Maintenance,,543.03,543.03,,Approved,Renewal
Premier,0QLWC000003DfYf4AK,GS-GSE-RRM-EOPM,Renewal Maintenance,,842.16,842.16,,Approved,Renewal
Professional,0QLWC000003DfyF4AS,GS-GSE-RRM-DMGA,Renewal Maintenance,,1694.28,1694.28,,Approved,Renewal
Professional,0QLWC000003DFyF4AW,GS-GSE-RRM-EFTAW,Renewal Maintenance,,1942.09,1942.09,,Approved,Renewal
Professional,0QLWC000003DFyg4AG,GS-GSE-RRM-EOPM,Renewal Maintenance,,216.4,216.4,,Approved,Renewal
Professional,0QLWC000003DfYg4AK,GS-GSE-RRM-EFEX,Renewal Maintenance,,330.35,330.35,,Approved,Renewal
Professional,0QLWC000003DfyG4AS,GS-GSE-RRM-EFAR,Renewal Maintenance,,609.79,609.79,,Approved,Renewal
Professional,0QLWC000003DFyG4AW,GS-GSE-RRM-EERM,Renewal Maintenance,,3163.63,3163.63,,Approved,Renewal
Professional,0QLWC000003DFyh4AG,GS-GSE-RRM-EOPM,Renewal Maintenance,,216.4,216.4,,Approved,Renewal
Professional,0QLWC000003DfYh4AK,GS-GSE-RRM-EFTSF,Renewal Maintenance,,227.99,227.99,,Approved,Renewal
Professional,0QLWC000003DfyH4AS,GS-GSE-RRM-EFAR,Renewal Maintenance,,304.26,304.26,,Approved,Renewal
Professional,0QLWC000003DFyH4AW,GS-GSE-RRM-EOPM,Renewal Maintenance,,304.12,304.12,,Approved,Renewal
Professional,0QLWC000003DFyi4AG,GS-GSE-RRM-EFEX,Renewal Maintenance,,386.52,386.52,,Approved,Renewal
Professional,0QLWC000003DfYi4AK,GS-GSE-RRM-EFTEO,Renewal Maintenance,,227.99,227.99,,Approved,Renewal
Professional,0QLWC000003DfyI4AS,GS-GSE-RRM-EFTAS,Renewal Maintenance,,2134.89,2134.89,,Approved,Renewal
Professional,0QLWC000003DFyI4AW,GS-GSE-RRM-EFTAW,Renewal Maintenance,,971.68,971.68,,Approved,Renewal
Professional,0QLWC000003DFyj4AG,GS-GSE-RRM-DMGA,Renewal Maintenance,,3652.87,3652.87,,Approved,Renewal
Professional,0QLWC000003DfyJ4AS,GS-GSE-RRM-EERM,Renewal Maintenance,,6330.18,6330.18,,Approved,Renewal
Professional,0QLWC000003DFyJ4AW,GS-GSE-RRM-EERM,Renewal Maintenance,,2087.22,2087.22,,Approved,Renewal
Professional,0QLWC000003DFyk4AG,GS-GSE-RRM-EFFM,Renewal Maintenance,,1196.3,1196.3,,Approved,Renewal
Professional,0QLWC000003DfyK4AS,GS-GSE-RRM-EERM,Renewal Maintenance,,6330.18,6330.18,,Approved,Renewal
Professional,0QLWC000003DFyK4AW,GS-GSE-RRM-EERM,Renewal Maintenance,,2087.22,2087.22,,Approved,Renewal
Professional,0QLWC000003DFyl4AG,GS-GSE-RRM-DMGA,Renewal Maintenance,,3652.87,3652.87,,Approved,Renewal
Professional,0QLWC000003DfyL4AS,GS-GSE-RRM-EOPM,Renewal Maintenance,,609.79,609.79,,Approved,Renewal
Professional,0QLWC000003DFyL4AW,GS-GSE-RRM-EFTAW,Renewal Maintenance,,641.06,641.06,,Approved,Renewal
