AttributeValue,QuoteLineItemId,QuoteLineItem.Product2Id,QuoteLineItem.Product2.Name,QuoteLineItem.Product2.ProductCode,QuoteLineItem.Fortra_Product_Type__c,QuoteLineItem.NetUnitPrice,QuoteLineItem.Source_List_Price__c,QuoteLineItem.Quote.Status
Standard,0QLWC000003HIVm4AO,01tWC00000DD1mQYAT,Systems Management-RenewalMaintenance,SM-SYM-RRM-SYSTRE,Renewal Maintenance,,,Won
Standard,0QLWC000003HIVn4AO,01tWC00000DD1mQYAT,Systems Management-RenewalMaintenance,SM-SYM-RRM-SYSTRE,Renewal Maintenance,,,Won
Standard,0QLWC000003HIVo4AO,01tWC00000DD1mQYAT,Systems Management-RenewalMaintenance,SM-SYM-RRM-SYSTRE,Renewal Maintenance,,,Won
Standard,0QLWC000003HIVp4AO,01tWC00000DD1mQYAT,Systems Management-RenewalMaintenance,SM-SYM-RRM-SYSTRE,Renewal Maintenance,,,Won
Standard,0QLWC000003HIVq4AO,01tWC00000DD1mQYAT,Systems Management-RenewalMaintenance,SM-SYM-RRM-SYSTRE,Renewal Maintenance,,,Won
Standard,0QLWC000003HIVr4AO,01tWC00000DD1mQYAT,Systems Management-RenewalMaintenance,SM-SYM-RRM-SYSTRE,Renewal Maintenance,,,Won
Standard,0QLWC000003Hixx4AC,01tWC00000DD19UYAT,Cybersecurity-RenewalMaintenance,CS-CLP-RRM-CYBERE,Renewal Maintenance,,,Won
Standard,0QLWC000003Hixy4AC,01tWC00000DD19UYAT,Cybersecurity-RenewalMaintenance,CS-CLP-RRM-CYBERE,Renewal Maintenance,,,Won
Standard,0QLWC000003Hixz4AC,01tWC00000DD19UYAT,Cybersecurity-RenewalMaintenance,CS-CLP-RRM-CYBERE,Renewal Maintenance,,,Won
Standard,0QLWC000003Hiy04AC,01tWC00000DD19UYAT,Cybersecurity-RenewalMaintenance,CS-CLP-RRM-CYBERE,Renewal Maintenance,,,Won
Standard,0QLWC000003Hiy14AC,01tWC00000DD19UYAT,Cybersecurity-RenewalMaintenance,CS-CLP-RRM-CYBERE,Renewal Maintenance,,,Won
Standard,0QLWC000003Hiy24AC,01tWC00000DD19UYAT,Cybersecurity-RenewalMaintenance,CS-CLP-RRM-CYBERE,Renewal Maintenance,,,Won
Standard,0QLWC000003Hiy34AC,01tWC00000DD1mQYAT,Systems Management-RenewalMaintenance,SM-SYM-RRM-SYSTRE,Renewal Maintenance,,,Won
Standard,0QLWC000003HiYc4AK,01tWC00000DD1LlYAL,GoAnywhere-NewMaintenance,GOA-GAM-RNM-GANM,New Maintenance,,,Won
Standard,0QLWC000003HiYd4AK,01tWC00000DD1LlYAL,GoAnywhere-NewMaintenance,GOA-GAM-RNM-GANM,New Maintenance,,,Won
Standard,0QLWC000003HiYe4AK,01tWC00000DD1LlYAL,GoAnywhere-NewMaintenance,GOA-GAM-RNM-GANM,New Maintenance,,,Won
Standard,0QLWC000003HiYi4AK,01tWC00000DD1LlYAL,GoAnywhere-NewMaintenance,GOA-GAM-RNM-GANM,New Maintenance,,,Won
Standard,0QLWC000003HiYj4AK,01tWC00000DD1LlYAL,GoAnywhere-NewMaintenance,GOA-GAM-RNM-GANM,New Maintenance,,,Won
Standard,0QLWC000003HiYk4AK,01tWC00000DD1LlYAL,GoAnywhere-NewMaintenance,GOA-GAM-RNM-GANM,New Maintenance,,,Won
Standard,0QLWC000003HiYo4AK,01tWC00000DD1LlYAL,GoAnywhere-NewMaintenance,GOA-GAM-RNM-GANM,New Maintenance,,,Won
Standard,0QLWC000003HiYp4AK,01tWC00000DD1LlYAL,GoAnywhere-NewMaintenance,GOA-GAM-RNM-GANM,New Maintenance,,,Won
Standard,0QLWC000003HiYq4AK,01tWC00000DD1LlYAL,GoAnywhere-NewMaintenance,GOA-GAM-RNM-GANM,New Maintenance,,,Won
Standard,0QLWC000003HiYu4AK,01tWC00000DD1LlYAL,GoAnywhere-NewMaintenance,GOA-GAM-RNM-GANM,New Maintenance,,,Won
Standard,0QLWC000003HiYv4AK,01tWC00000DD1LlYAL,GoAnywhere-NewMaintenance,GOA-GAM-RNM-GANM,New Maintenance,,,Won
Standard,0QLWC000003HiYw4AK,01tWC00000DD1LlYAL,GoAnywhere-NewMaintenance,GOA-GAM-RNM-GANM,New Maintenance,,,Won
Standard,0QLWC000003HIzK4AW,01tWC00000DD15SYAT,Business Intelligence - New Maintenance-NewMaintenance,BI-SQ-RNM-BUSIIN,New Maintenance,,,Won
Standard,0QLWC000003Hj8B4AS,01tWC00000DD1mPYAT,Systems Management-NewMaintenance,SM-SYM-RNM-SYSTNE,New Maintenance,,,
Standard,0QLWC000003Hj8C4AS,01tWC00000DD1mPYAT,Systems Management-NewMaintenance,SM-SYM-RNM-SYSTNE,New Maintenance,,,
Standard,0QLWC000003Hj8D4AS,01tWC00000DD1mPYAT,Systems Management-NewMaintenance,SM-SYM-RNM-SYSTNE,New Maintenance,,,
Standard,0QLWC000003Hj8E4AS,01tWC00000DD1mPYAT,Systems Management-NewMaintenance,SM-SYM-RNM-SYSTNE,New Maintenance,,,
Standard,0QLWC000003Hj8V4AS,01tWC00000DD1LlYAL,GoAnywhere-NewMaintenance,GOA-GAM-RNM-GANM,New Maintenance,,,Won
Standard,0QLWC000003HJC54AO,01tWC00000DD1A4YAL,Data Protection-NewMaintenance,DP-DLP-RNM-DPNM,New Maintenance,,,Won
Standard,0QLWC000003HJC74AO,01tWC00000DD1A4YAL,Data Protection-NewMaintenance,DP-DLP-RNM-DPNM,New Maintenance,,,Won
Standard,0QLWC000003HJdI4AW,01tWC00000DD09kYAD,Network Monitoring-NewMaintenance,NW-INT-RNM-NMNM,New Maintenance,,,Won
