Id,Product2Id,Product2.Name,Product2.ProductCode,Product2.Family,Product2.IsActive,Pricebook2Id,Pricebook2.Name,CurrencyIsoCode,UnitPrice,IsActive
01uWC000005pHVIYA2,01tWC00000DCwW6YAL,Integration Toolkit-RenewalMaintenance,DM-WFM-RRM-INTERE,Renewal Maintenance,true,01sa5000001vuxlAAA,Standard Price Book,USD,0,true
01uWC000005pHVOYA2,01tWC00000DCwW8YAL,Intermapper Server - Freeware-NewMaintenance,NW-INT-RNM-ISFNM,New Maintenance,true,01sa5000001vuxlAAA,Standard Price Book,USD,0,true
01uWC000005pHVUYA2,01tWC00000DCwWAYA1,Intermapper Server - Freeware-RenewalMaintenance,NW-INT-RRM-ISFRM,Renewal Maintenance,true,01sa5000001vuxlAAA,Standard Price Book,USD,0,true
01uWC000005pHVaYAM,01tWC00000DCwWBYA1,Intermapper Server-NewMaintenance,NW-INT-RNM-ISNM,New Maintenance,true,01sa5000001vuxlAAA,Standard Price Book,USD,0,true
01uWC000005pHVgYAM,01tWC00000DCwWDYA1,Intermapper Server-RenewalMaintenance,NW-INT-RRM-ISRM,Renewal Maintenance,true,01sa5000001vuxlAAA,Standard Price Book,USD,0,true
01uWC000005pHVmYAM,01tWC00000DCwWFYA1,Intermapper Server (Legacy)-NewMaintenance,NW-INT-RNM-ISLNM,New Maintenance,true,01sa5000001vuxlAAA,Standard Price Book,USD,0,true
01uWC000005pHVsYAM,01tWC00000DCwWHYA1,Intermapper Server (Legacy)-RenewalMaintenance,NW-INT-RRM-ISLRM,Renewal Maintenance,true,01sa5000001vuxlAAA,Standard Price Book,USD,0,true
01uWC000005pHVyYAM,01tWC00000DCwWJYA1,Intermapper Server Bundle-NewMaintenance,NW-INT-RNM-ISBNM,New Maintenance,true,01sa5000001vuxlAAA,Standard Price Book,USD,0,true
01uWC000005pHW4YAM,01tWC00000DCwWLYA1,Intermapper Server Bundle-RenewalMaintenance,NW-INT-RRM-ISBRM,Renewal Maintenance,true,01sa5000001vuxlAAA,Standard Price Book,USD,0,true
01uWC000005pHWAYA2,01tWC00000DCwWOYA1,Investigation Module-NewMaintenance,DP-DLP-RNM-INVENE,New Maintenance,true,01sa5000001vuxlAAA,Standard Price Book,USD,0,true
01uWC000005pHWGYA2,01tWC00000DCwWQYA1,Investigation Module-RenewalMaintenance,DP-DLP-RRM-INVERE,Renewal Maintenance,true,01sa5000001vuxlAAA,Standard Price Book,USD,0,true
01uWC000005pHWNYA2,01tWC00000DCwWYYA1,IP360 - Term Based-NewMaintenance,FIM-FIM-RNM-IP36TB,New Maintenance,true,01sa5000001vuxlAAA,Standard Price Book,USD,0,true
01uWC000005pHaIYAU,01tWC00000DD09mYAD,Network Traffic Controller-NewMaintenance,CS-DFT-RNM-NTCNM,New Maintenance,true,01sa5000001vuxlAAA,Standard Price Book,USD,0,true
01uWC000005pHaOYAU,01tWC00000DD09oYAD,Network Traffic Controller-RenewalMaintenance,CS-DFT-RRM-NTCRM,Renewal Maintenance,true,01sa5000001vuxlAAA,Standard Price Book,USD,0,true
01uWC000005pHaUYAU,01tWC00000DD09qYAD,NETWORK-Alternative Host-NewMaintenance,SM-RON-RNM-NAHNM,New Maintenance,true,01sa5000001vuxlAAA,Standard Price Book,USD,0,true
01uWC000005pHaaYAE,01tWC00000DD09sYAD,NETWORK-Alternative Host-RenewalMaintenance,SM-RON-RRM-NAHRM,Renewal Maintenance,true,01sa5000001vuxlAAA,Standard Price Book,USD,0,true
01uWC000005pHagYAE,01tWC00000DD09uYAD,NETWORK-Host-NewMaintenance,SM-RON-RNM-NHNM,New Maintenance,true,01sa5000001vuxlAAA,Standard Price Book,USD,0,true
01uWC000005pHamYAE,01tWC00000DD09wYAD,NETWORK-Host-RenewalMaintenance,SM-RON-RRM-NHRM,Renewal Maintenance,true,01sa5000001vuxlAAA,Standard Price Book,USD,0,true
01uWC000005pHasYAE,01tWC00000DD09yYAD,NETWORK-Node-NewMaintenance,SM-RON-RNM-NNNM,New Maintenance,true,01sa5000001vuxlAAA,Standard Price Book,USD,0,true
01uWC000005pHayYAE,01tWC00000DD0A0YAL,NETWORK-Node-RenewalMaintenance,SM-RON-RRM-NNRM,Renewal Maintenance,true,01sa5000001vuxlAAA,Standard Price Book,USD,0,true
01uWC000005pHb4YAE,01tWC00000DD0A2YAL,Non-Standard Core Connectors-NewMaintenance,IGA-AAS-RNM-NSCCNE,New Maintenance,true,01sa5000001vuxlAAA,Standard Price Book,USD,0,true
01uWC000005pHbAYAU,01tWC00000DD0A4YAL,Non-Standard Core Connectors-RenewalMaintenance,IGA-AAS-RRM-NSCCRE,Renewal Maintenance,true,01sa5000001vuxlAAA,Standard Price Book,USD,0,true
01uWC000005pHbGYAU,01tWC00000DD0A6YAL,Notes Classifier-NewMaintenance,DP-DC-RNM-NOTENE,New Maintenance,true,01sa5000001vuxlAAA,Standard Price Book,USD,0,true
01uWC000005pHbMYAU,01tWC00000DD0A8YAL,Notes Classifier-RenewalMaintenance,DP-DC-RRM-NOTERE,Renewal Maintenance,true,01sa5000001vuxlAAA,Standard Price Book,USD,0,true
01uWC000005pHbSYAU,01tWC00000DD0A9YAL,Nport 5110-UK-NewMaintenance,SM-SYM-RNM-N5UNEW,New Maintenance,true,01sa5000001vuxlAAA,Standard Price Book,USD,0,true
01uWC000005pHbYYAU,01tWC00000DD0ABYA1,Nport 5110-UK-RenewalMaintenance,SM-SYM-RRM-N5UREN,Renewal Maintenance,true,01sa5000001vuxlAAA,Standard Price Book,USD,0,true
01uWC000005pHbeYAE,01tWC00000DD0ADYA1,NSS - AIX-NewMaintenance,SM-NSS-RNM-NSSAIX,New Maintenance,true,01sa5000001vuxlAAA,Standard Price Book,USD,0,true
01uWC000005pHbkYAE,01tWC00000DD0AFYA1,NSS - AIX-RenewalMaintenance,SM-NSS-RRM-NSSARM,Renewal Maintenance,true,01sa5000001vuxlAAA,Standard Price Book,USD,0,true
01uWC000005pHbqYAE,01tWC00000DD0AHYA1,NSS - Linux-NewMaintenance,SM-NSS-RNM-NSSLNM,New Maintenance,true,01sa5000001vuxlAAA,Standard Price Book,USD,0,true
01uWC000005pHbwYAE,01tWC00000DD0AJYA1,NSS - Linux-RenewalMaintenance,SM-NSS-RRM-NSSLRM,Renewal Maintenance,true,01sa5000001vuxlAAA,Standard Price Book,USD,0,true
01uWC000005pHc2YAE,01tWC00000DD0ALYA1,NSS - SNMP Trap Receiver-NewMaintenance,SM-NSS-RNM-NSSSNM,New Maintenance,true,01sa5000001vuxlAAA,Standard Price Book,USD,0,true
01uWC000005pHc8YAE,01tWC00000DD0ANYA1,NSS - SNMP Trap Receiver-RenewalMaintenance,SM-NSS-RRM-NSSSNT,Renewal Maintenance,true,01sa5000001vuxlAAA,Standard Price Book,USD,0,true
01uWC000005pHcEYAU,01tWC00000DD0APYA1,NSS - VIOS-NewMaintenance,SM-NSS-RNM-NSSVIO,New Maintenance,true,01sa5000001vuxlAAA,Standard Price Book,USD,0,true
01uWC000005pHcKYAU,01tWC00000DD0ARYA1,NSS - VIOS-RenewalMaintenance,SM-NSS-RRM-NSSVRM,Renewal Maintenance,true,01sa5000001vuxlAAA,Standard Price Book,USD,0,true
01uWC000005pHcQYAU,01tWC00000DD0ATYA1,NSS - Web Application Monitor-NewMaintenance,SM-NSS-RNM-NSSWAM,New Maintenance,true,01sa5000001vuxlAAA,Standard Price Book,USD,0,true
01uWC000005pHcWYAU,01tWC00000DD0AVYA1,NSS - Web Application Monitor-RenewalMaintenance,SM-NSS-RRM-NSSWEA,Renewal Maintenance,true,01sa5000001vuxlAAA,Standard Price Book,USD,0,true
01uWC000005pHccYAE,01tWC00000DD0AXYA1,NSS - Windows-NewMaintenance,SM-NSS-RNM-NSSWNM,New Maintenance,true,01sa5000001vuxlAAA,Standard Price Book,USD,0,true
01uWC000005pHciYAE,01tWC00000DD0AZYA1,NSS - Windows-RenewalMaintenance,SM-NSS-RRM-NSSWRM,Renewal Maintenance,true,01sa5000001vuxlAAA,Standard Price Book,USD,0,true
01uWC000005pHcoYAE,01tWC00000DD0AbYAL,OCR Feature For Information Governance Server-NewMaintenance,ES-SEG-RNM-OCRF,New Maintenance,true,01sa5000001vuxlAAA,Standard Price Book,USD,0,true
01uWC000005pHcuYAE,01tWC00000DD0AdYAL,OCR Feature For Information Governance Server-RenewalMaintenance,ES-SEG-RRM-OFIM,Renewal Maintenance,true,01sa5000001vuxlAAA,Standard Price Book,USD,0,true
01uWC000005pHd0YAE,01tWC00000DD0AfYAL,OCR Feature For SECURE Email Gateway-NewMaintenance,ES-SEG-RNM-OFSM,New Maintenance,true,01sa5000001vuxlAAA,Standard Price Book,USD,0,true
01uWC000005pHd6YAE,01tWC00000DD0AhYAL,OCR Feature For SECURE Email Gateway-RenewalMaintenance,ES-SEG-RRM-OCFE,Renewal Maintenance,true,01sa5000001vuxlAAA,Standard Price Book,USD,0,true
01uWC000005pHdCYAU,01tWC00000DD0AjYAL,OCR Feature For SECURE Exchange Gateway-NewMaintenance,ES-SXG-RNM-OCNM,New Maintenance,true,01sa5000001vuxlAAA,Standard Price Book,USD,0,true
01uWC000005pHdIYAU,01tWC00000DD0AlYAL,OCR Feature For SECURE Exchange Gateway-RenewalMaintenance,ES-SXG-RRM-OCRM,Renewal Maintenance,true,01sa5000001vuxlAAA,Standard Price Book,USD,0,true
01uWC000005pHdOYAU,01tWC00000DD10VYAT,Digital Guardian Software-NewMaintenance,DP-DLP-RNM-DGSNM,New Maintenance,true,01sa5000001vuxlAAA,Standard Price Book,USD,0,true
01uWC000005pHq4YAE,01tWC00000DD13JYAT,Application System & Object Control-RenewalMaintenance,CS-DFT-RRM-ASOCRM,Renewal Maintenance,true,01sa5000001vuxlAAA,Standard Price Book,USD,0,true
01uWC000005pHqKYAU,01tWC00000DD13QYAT,Aspect Communications IVR Software-NewMaintenance,IGA-AAS-RNM-ACISNE,New Maintenance,true,01sa5000001vuxlAAA,Standard Price Book,USD,0,true
01uWC000005pHwsYAE,01tWC00000DD13SYAT,Aspect Communications IVR Software-RenewalMaintenance,IGA-AAS-RRM-ACISRE,Renewal Maintenance,true,01sa5000001vuxlAAA,Standard Price Book,USD,0,true
01uWC000005pHwyYAE,01tWC00000DD13VYAT,ATP-NewMaintenance,DP-DLP-RNM-ATPNEW,New Maintenance,true,01sa5000001vuxlAAA,Standard Price Book,USD,0,true
01uWC000005pHx4YAE,01tWC00000DD13XYAT,ATP-RenewalMaintenance,DP-DLP-RRM-ATPREN,Renewal Maintenance,true,01sa5000001vuxlAAA,Standard Price Book,USD,0,true
01uWC000005pHxFYAU,01tWC00000DD13aYAD,Flow Exporters-RenewalMaintenance,NW-AA-RRM-FLOWRE,Renewal Maintenance,true,01sa5000001vuxlAAA,Standard Price Book,USD,0,true
01uWC000005pHxVYAU,01tWC00000DD13gYAD,Audit Journal Manager-NewMaintenance,SM-AJM-RNM-AJMNM,New Maintenance,true,01sa5000001vuxlAAA,Standard Price Book,USD,0,true
01uWC000005pHxbYAE,01tWC00000DD13iYAD,Audit Journal Manager-RenewalMaintenance,SM-AJM-RRM-AJMRM,Renewal Maintenance,true,01sa5000001vuxlAAA,Standard Price Book,USD,0,true
01uWC000005pHxhYAE,01tWC00000DD13kYAD,Authority Swapper-NewMaintenance,SM-AUS-RNM-AUTHNE,New Maintenance,true,01sa5000001vuxlAAA,Standard Price Book,USD,0,true
