"Sequence","Name","ApiName","Status","Description","CriteriaExpressionType","CriteriaHumanReadable","ValidationMessage","SourceUAT_Id"
"10","Renew Tripwire Enterprise for Desktops sku","renewTripwireEnterpriseForDesktopsSku","Active","","All","[0] ItemProductCode ? FIM-FIM-RSS-TEDS_LIC AND [0] QuoteTypeText__c ? Renewal","","14OWC000001s7x32AA"
"10","Renew Tripwire Enterprise for File Systems sku","renewTripwireEnterpriseForFileSystemsSku","Active","","All","[0] ItemProductCode ? FIM-FIM-RSS-TEFSS_LIC AND [0] QuoteTypeText__c ? Renewal","","14OWC000001s90v2AA"
"10","Renew Tripwire Enterprise for Industrial Devices sku","renewTripwireEnterpriseForIndustrialDevicesSku","Active","","All","[0] ItemProductCode ? FIM-FIM-RSS-TEIDS_LIC AND [0] QuoteTypeText__c ? Renewal","","14OWC000001s92X2AQ"
"10","Renew Tripwire Enterprise for Microsoft IIS sku","renewTripwireEnterpriseForMicrosoftIisSku","Active","","All","[0] ItemProductCode ? FIM-FIM-RSS-TEMIS_LIC AND [0] QuoteTypeText__c ? Renewal","","14OWC000001s95l2AA"
"10","Renew Tripwire Enterprise for Network Devices sku","renewTripwireEnterpriseForNetworkDevicesSku","Active","","All","[0] ItemProductCode ? FIM-FIM-RSS-TENDS_LIC AND [0] QuoteTypeText__c ? Renewal","","14OWC000001s97N2AQ"
"10","Renew Tripwire Enterprise for POS End Point Systems sku","renewTripwireEnterpriseForPosEndPointSystemsSku","Active","","All","[0] ItemProductCode ? FIM-FIM-RSS-TEPS_LIC AND [0] QuoteTypeText__c ? Renewal","","14OWC000001s8Q12AI"
"10","Renew Tripwire Enterprise for POS Servers sku","renewTripwireEnterpriseForPosServersSku","Active","","All","[0] ItemProductCode ? FIM-FIM-RSS-TEPSS_LIC AND [0] QuoteTypeText__c ? Renewal","","14OWC000001s98z2AA"
"10","Renew Tripwire Log Center Console sku","renewTripwireLogCenterConsoleSku","Active","","All","[0] ItemProductCode ? FIM-TLC-RSS-TLCCS_LIC AND [0] QuoteTypeText__c ? Renewal","","14OWC000001s9FR2AY"
"10","Renew Tripwire Log Center Manager sku","renewTripwireLogCenterManagerSku","Active","","All","[0] ItemProductCode ? FIM-TLC-RSS-TLCMS_LIC AND [0] QuoteTypeText__c ? Renewal","","14OWC000001s9XB2AY"
"10","Renew Tripwire Log Center Remote Log Collector sku","renewTripwireLogCenterRemoteLogCollectorSku","Active","","All","[0] ItemProductCode ? FIM-TLC-RSS-TLOCER_LIC AND [0] QuoteTypeText__c ? Renewal","","14OWC000001s9Yn2AI"
"10","Renew Tripwire Log Center for Databases sku","renewTripwireLogCenterForDatabasesSku","Active","","All","[0] ItemProductCode ? FIM-TLC-RSS-TLCDIR_LIC AND [0] QuoteTypeText__c ? Renewal","","14OWC000001s9H32AI"
"10","Renew Tripwire Log Center for Desktops sku","renewTripwireLogCenterForDesktopsSku","Active","","All","[0] ItemProductCode ? FIM-TLC-RSS-TRAS_LIC AND [0] QuoteTypeText__c ? Renewal","","14OWC000001s9If2AI"
"10","Renew Tripwire Log Center for Directory Services sku","renewTripwireLogCenterForDirectoryServicesSku","Active","","All","[0] ItemProductCode ? FIM-TLC-RSS-TRILOC_LIC AND [0] QuoteTypeText__c ? Renewal","","14OWC000001s9KH2AY"
"10","Renew Tripwire Log Center for File Systems sku","renewTripwireLogCenterForFileSystemsSku","Active","","All","[0] ItemProductCode ? FIM-TLC-RSS-TRLCEN_LIC AND [0] QuoteTypeText__c ? Renewal","","14OWC000001s9Lt2AI"
"10","Renew Tripwire Log Center for Industrial Environments sku","renewTripwireLogCenterForIndustrialEnvironmentsSku","Active","","All","[0] ItemProductCode ? FIM-TLC-RSS-TLCIES_LIC AND [0] QuoteTypeText__c ? Renewal","","14OWC000001s9NV2AY"
"10","Renew Tripwire Log Center for Microsoft Exchange sku","renewTripwireLogCenterForMicrosoftExchangeSku","Active","","All","[0] ItemProductCode ? FIM-TLC-RSS-TRLOCE_LIC AND [0] QuoteTypeText__c ? Renewal","","14OWC000001s9P72AI"
"10","Renew Tripwire Log Center for Network Devices sku","renewTripwireLogCenterForNetworkDevicesSku","Active","","All","[0] ItemProductCode ? FIM-FIM-RSS-TRCS_LIC AND [0] QuoteTypeText__c ? Renewal","","14OWC000001s9Qj2AI"
"10","Renew Tripwire Log Center for POS End Point Systems sku","renewTripwireLogCenterForPosEndPointSystemsSku","Active","","All","[0] ItemProductCode ? FIM-TLC-RSS-TLOCEP_LIC AND [0] QuoteTypeText__c ? Renewal","","14OWC000001s9SL2AY"
"10","Renew Tripwire Log Center for POS Servers sku","renewTripwireLogCenterForPosServersSku","Active","","All","[0] ItemProductCode ? FIM-TLC-RSS-TLOCPS_LIC AND [0] QuoteTypeText__c ? Renewal","","14OWC000001s9Tx2AI"
"10","Renew Tripwire Log Center for VMware ESX sku","renewTripwireLogCenterForVmwareEsxSku","Active","","All","[0] ItemProductCode ? FIM-FIM-RSS-TLOCVE_LIC AND [0] QuoteTypeText__c ? Renewal","","14OWC000001s9VZ2AY"
"10","Renew Tripwire State Analyzer Express sku","renewTripwireStateAnalyzerExpressSku","Active","","All","[0] ItemProductCode ? FIM-FIM-RSS-TSAES_LIC AND [0] QuoteTypeText__c ? Renewal","","14OWC000001s9aP2AQ"
"10","Renew Tripwire State Analyzer sku","renewTripwireStateAnalyzerSku","Active","","All","[0] ItemProductCode ? FIM-FIM-RSS-TSAS_LIC AND [0] QuoteTypeText__c ? Renewal","","14OWC000001s9c12AA"
"10","Renew Tripwire for Databases Sku","renewTripwireForDatabasesSku","Active","","All","[0] ItemProductCode ? FIM-FIM-RSS-TDS_LIC AND [0] QuoteTypeText__c ? Renewal","","14OWC000001s9Ab2AI"
"10","Renew Tripwire for Directory Services Sku","renewTripwireForDirectoryServicesSku","Active","","All","[0] ItemProductCode ? FIM-FIM-RSS-TDSS_LIC AND [0] QuoteTypeText__c ? Renewal","","14OWC000001s9CD2AY"
"10","Renew VnE Manager Ev Limited sku","renewVneManagerEvLimitedSku","Active","","All","[0] ItemProductCode ? FIM-FIM-RSS-VEMELS_LIC AND [0] QuoteTypeText__c ? Renewal","","14OWC000001s9dd2AA"
"10","Renew VnE Manager Ev sku","renewVneManagerEvSku","Active","","All","[0] ItemProductCode ? FIM-FIM-RSS-VEMEES_LIC AND [0] QuoteTypeText__c ? Renewal","","14OWC000001s9fF2AQ"
"10","Renew VnE Manager Ev sku_2","renewVneManagerEvSku_2","Active","","All","[0] ItemProductCode ? FIM-FIM-RSS-VEMEVS_LIC AND [0] QuoteTypeText__c ? Renewal","","14OWC000001s9gr2AA"
"10","Requires Automate BPAPlus AgentBot_Dev ToolStudio","requiresAutomateBpaplusAgentbot_devToolstudio","Active","Requires purchase of (or existing license of) at least one AutoMate BPA/Plus Agent/Bot AND at least one AutoMate BPA/Plus Developer Tool/Studio to enable licensing/functionality","All","[0] ItemProductCode ? RPA-AUT-NRPS-AUEN","","14OWC000001s0AX2AY"
"10","Requires existing Automate Server license","requiresExistingAutomateServerLicense","Active","only one Intelligent Capture AP Detail SKU per Automate Server.","All","[0] ItemProductCode ? RPA-AIC-NRPS-AICP","","14OWC000001s0C92AI"
"10","Requires existing Automate Server license_2","requiresExistingAutomateServerLicense_2","Active","only one Intelligent Capture AP Detail SKU per Automate Server.","All","[0] ItemProductCode ? RPA-AIC-RSS-AICS_LIC","","14OWC000001s0Dl2AI"
"10","Requires existing license of Automate Professional","requiresExistingLicenseOfAutomateProfessional","Active","","All","[0] ItemProductCode ? RPA-AUD-NRPS-APAPP","","14OWC000001s0FN2AY"
