
===== SHEET: Tripwire Enterprise (181r x 9c) =====
製品番号 SKU	数量 Qty	製品名 Description	定価 TWKK List Price (External- Distributor list price)	50% Discount from List (Distributor Buy Price)	55% Discount from List (Distributor Buy Price)	60% Discount from List (Distributor Buy Price)	65% of Distributor Buy Price (target based upon 2013 results)	Yen Transfer Price
TEサーバー (Consoles)
172107-03-JA	251-500	Tripwire Enterprise for POS Servers - Renewal Basic Support	7344.000000000001	3672.0000000000005	3304.8000000000006	2937.6000000000004	2386.8	2000
172107-03-JA	501-1000	Tripwire Enterprise for POS Servers - Renewal Basic Support	6372	3186	2867.4	2548.8	2070.9	2000
172107-03-JA	1001+	Tripwire Enterprise for POS Servers - Renewal Basic Support	4968	2484	2235.6	1987.2	1614.6000000000001	2000
172109-00-JA	1-100	Tripwire Enterprise for POS End Point Systems - License	24416.000000000004	12208.000000000002	10987.200000000003	9766.400000000001	7935.200000000002	8000
172109-00-JA	101-250	Tripwire Enterprise for POS End Point Systems - License	20160.000000000004	10080.000000000002	9072.000000000002	8064.000000000002	6552.000000000002	7000
172109-00-JA	251-500	Tripwire Enterprise for POS End Point Systems - License	14560.000000000002	7280.000000000001	6552.000000000001	5824.000000000001	4732.000000000001	5000
172109-00-JA	501-1000	Tripwire Enterprise for POS End Point Systems - License	12096.000000000002	6048.000000000001	5443.200000000001	4838.400000000001	3931.2000000000007	4000
172109-00-JA	1001+	Tripwire Enterprise for POS End Point Systems - License	9632.000000000002	4816.000000000001	4334.400000000001	3852.800000000001	3130.4000000000005	3000
172109-01-JA	1-100	Tripwire Enterprise for POS End Point Systems - Basic Support	5152.000000000001	2576.0000000000005	2318.4000000000005	2060.8000000000006	1674.4000000000003	2000
172109-01-JA	101-250	Tripwire Enterprise for POS End Point Systems - Basic Support	4144	2072	1864.8	1657.6000000000001	1346.8	1000
172109-01-JA	251-500	Tripwire Enterprise for POS End Point Systems - Basic Support	2912.0000000000005	1456.0000000000002	1310.4000000000003	1164.8000000000002	946.4000000000002	1000
172109-01-JA	501-1000	Tripwire Enterprise for POS End Point Systems - Basic Support	2464.0000000000005	1232.0000000000002	1108.8000000000002	985.6000000000003	800.8000000000002	1000
172109-01-JA	1001+	Tripwire Enterprise for POS End Point Systems - Basic Support	2016.0000000000002	1008.0000000000001	907.2000000000002	806.4000000000001	655.2	1000
