Id,Name,ProductCode
01tWC00000FCDlmYAH,Alignia - Engine - APM (Technical),SM-VIT-RSS-AEAS-TECH
01tWC00000FCDlnYAH,Alignia - Engine (Technical)-NewMaintenance,SM-VIT-RNM-AENM-TECH
01tWC00000FCDloYAH,Alignia - Engine (Technical),SM-VIT-NRPS-AEP-TECH
01tWC00000FCDlpYAH,Alignia - Engine (Technical)-RenewalMaintenance,SM-VIT-RRM-AERM-TECH
01tWC00000FCDlqYAH,Alignia - Engine (Technical),SM-VIT-RSS-AES-TECH
01tWC00000FCDlrYAH,Alignia - External Service (Technical)-NewMaintenance,SM-VIT-RNM-AESNM-TECH
01tWC00000FCDlsYAH,Alignia - External Service (Technical),SM-VIT-NRPS-AESP-TECH
01tWC00000FCDltYAH,Alignia - External Service (Technical)-RenewalMaintenance,SM-VIT-RRM-AESRM-TECH
01tWC00000FCDluYAH,Alignia - External Service (Technical),SM-VIT-RSS-AESS-TECH
01tWC00000FCDlvYAH,Alignia - Internal Service (Technical)-NewMaintenance,SM-VIT-RNM-AISNM-TECH
01tWC00000FCDlwYAH,Alignia - Internal Service (Technical),SM-VIT-NRPS-AISP-TECH
01tWC00000FCDlxYAH,Alignia - Internal Service (Technical)-RenewalMaintenance,SM-VIT-RRM-AISRM-TECH
01tWC00000FCDlyYAH,Alignia - Internal Service (Technical),SM-VIT-RSS-AISS-TECH
01tWC00000FCDlzYAH,Alignia - Online Business Service (Technical)-NewMaintenance,SM-VIT-RNM-AOBSNM-TECH
01tWC00000FCDm0YAH,Alignia - Online Business Service (Technical),SM-VIT-NRPS-AOBSP-TECH
01tWC00000FCDm1YAH,Alignia - Online Business Service (Technical)-RenewalMaintenance,SM-VIT-RRM-AOBSRM-TECH
01tWC00000FCDm2YAH,Alignia - Online Business Service (Technical),SM-VIT-RSS-AOBSS-TECH
01tWC00000FCDm3YAH,Alignia - Task (Technical)-NewMaintenance,SM-VIT-RNM-ATNM-TECH
01tWC00000FCDm4YAH,Alignia - Task (Technical),SM-VIT-NRPS-ATP-TECH
01tWC00000FCDm5YAH,Alignia - Task (Technical)-RenewalMaintenance,SM-VIT-RRM-ATRM-TECH
01tWC00000FCDm6YAH,Alignia - Task (Technical),SM-VIT-RSS-ATS-TECH
01tWC00000FCDm7YAH,Alignia - Task Instance (Technical)-NewMaintenance,SM-VIT-RNM-ATINM-TECH
01tWC00000FCDm8YAH,Alignia - Task Instance (Technical),SM-VIT-NRPS-ATIP-TECH
01tWC00000FCDm9YAH,Alignia - Task Instance (Technical)-RenewalMaintenance,SM-VIT-RRM-ATIRM-TECH
01tWC00000FCDmAYAX,Alignia - Task Instance (Technical),SM-VIT-RSS-ATIS-TECH
01tWC00000FCDmBYAX,Alignia Core (Technical)-NewMaintenance,SM-VIT-RNM-ALNM-TECH
01tWC00000FCDmCYAX,Alignia Core (Technical),SM-VIT-NRPS-ALCP-TECH
01tWC00000FCDmDYAX,Alignia Core (Technical)-RenewalMaintenance,SM-VIT-RRM-ALIGCO-TECH
01tWC00000FCDmEYAX,Alignia Core (Technical),SM-VIT-RSS-ALCS-TECH
01tWC00000FCDmFYAX,Audit Journal Manager (Technical)-NewMaintenance,SM-AJM-RNM-AJMNM-TECH
01tWC00000FCDmGYAX,Audit Journal Manager (Technical),SM-AJM-NRPS-AJMP-TECH
01tWC00000FCDmHYAX,Audit Journal Manager (Technical)-RenewalMaintenance,SM-AJM-RRM-AJMRM-TECH
01tWC00000FCDmIYAX,Audit Journal Manager (Technical),SM-AJM-RSS-AJMS-TECH
01tWC00000FCDmJYAX,Authority Swapper (Technical)-NewMaintenance,SM-AUS-RNM-AUTHNE-TECH
01tWC00000FCDmKYAX,Authority Swapper (Technical),SM-AUS-NRPS-AUTHPE-TECH
01tWC00000FCDmLYAX,Authority Swapper (Technical)-RenewalMaintenance,SM-AUS-RRM-AUTHRE-TECH
01tWC00000FCDmMYAX,Authority Swapper (Technical),SM-AUS-RSS-AUTHSU-TECH
01tWC00000FCDmNYAX,"BUNDLE - Message, Monitor, Remote Control (Technical)-NewMaintenance",SM-SMB-RNM-BUNDLE-TECH
01tWC00000FCDmOYAX,"BUNDLE - Message, Monitor, Remote Control (Technical)",SM-SMB-NRPS-BMMP-TECH
01tWC00000FCDmPYAX,"BUNDLE - Message, Monitor, Remote Control (Technical)-RenewalMaintenance",SM-SMB-RRM-BMMM-TECH
01tWC00000FCDmQYAX,"BUNDLE - Message, Monitor, Remote Control (Technical)",SM-SMB-RSS-BMMS-TECH
01tWC00000FCDmRYAX,Business Continuity Architecture Consulting (Technical),SM-SYM-NRST-BUSICA-TECH
01tWC00000FCEGJYA5,VISUAL Message Center - Full Pack (Technical),SM-VMC-RSS-VMCS-TECH
01tWC00000FCEGKYA5,VISUAL Message Center iSeries Base (Technical)-NewMaintenance,SM-VMC-RNM-VISMES-TECH
01tWC00000FCEGLYA5,VISUAL Message Center iSeries Base (Technical),SM-VMC-NRPS-VIBP-TECH
01tWC00000FCEGMYA5,VISUAL Message Center iSeries Base (Technical)-RenewalMaintenance,SM-VMC-RRM-VIMESS-TECH
01tWC00000FCEGNYA5,VISUAL Message Center iSeries Base (Technical),SM-VMC-RSS-VIBS-TECH
